hypothesis,model,metric_key,metric,n,stat,value,source_file
H1,multi-qa-MiniLM-L6-cos-v1,ratio_max@2_mean,ratio_max,2,mean,0.4311846662200794,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_max@2_mean,ratio_max,2,mean,0.5260004998207057,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_max@2_mean,ratio_max,2,mean,0.4555361633755,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_max@2_mean,ratio_max,2,mean,0.5386134927100696,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_max@2_mean,ratio_max,2,mean,0.4657595875514043,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_max@2_std,ratio_max,2,std,0.2120027305308535,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_max@2_std,ratio_max,2,std,0.2198942939660484,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_max@2_std,ratio_max,2,std,0.1461695146880169,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_max@2_std,ratio_max,2,std,0.1454474741075265,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_max@2_std,ratio_max,2,std,0.213601929324087,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_max@2_std,ratio_max,2,std,0.1295094631789199,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_max@2_std,ratio_max,2,std,0.2146768020389703,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_max@2_std,ratio_max,2,std,0.1381309159354278,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_max@2_std,ratio_max,2,std,0.2608154968386332,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_max@2_std,ratio_max,2,std,0.2230734628652062,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_mean@2_mean,ratio_mean,2,mean,0.5342428061363431,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_mean@2_mean,ratio_mean,2,mean,0.6035231564303195,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_mean@2_mean,ratio_mean,2,mean,0.4771204413274982,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_mean@2_mean,ratio_mean,2,mean,0.447049858050658,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_mean@2_mean,ratio_mean,2,mean,0.5012908147051899,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_mean@2_mean,ratio_mean,2,mean,0.4460495788380377,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_mean@2_mean,ratio_mean,2,mean,0.4990270908794966,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_mean@2_mean,ratio_mean,2,mean,0.4620669971341805,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_mean@2_mean,ratio_mean,2,mean,0.5399472655214813,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_mean@2_mean,ratio_mean,2,mean,0.4636852894224497,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_mean@2_std,ratio_mean,2,std,0.144849564557702,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_mean@2_std,ratio_mean,2,std,0.1447733263731207,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_mean@2_std,ratio_mean,2,std,0.1173162717164503,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_mean@2_std,ratio_mean,2,std,0.120305664733221,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_mean@2_std,ratio_mean,2,std,0.1393879550838375,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_mean@2_std,ratio_mean,2,std,0.1118330276346974,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_mean@2_std,ratio_mean,2,std,0.1365589272074191,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_mean@2_std,ratio_mean,2,std,0.105028442452682,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_mean@2_std,ratio_mean,2,std,0.2325666998180354,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_mean@2_std,ratio_mean,2,std,0.1451689364255984,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_min@2_mean,ratio_min,2,mean,0.4865891900456328,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_min@2_mean,ratio_min,2,mean,0.5216619056183484,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_min@2_mean,ratio_min,2,mean,0.4855971265535694,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_min@2_mean,ratio_min,2,mean,0.4706458823954286,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_min@2_mean,ratio_min,2,mean,0.483811412267855,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_min@2_mean,ratio_min,2,mean,0.4740366869931298,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_min@2_mean,ratio_min,2,mean,0.4803193487757916,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_min@2_mean,ratio_min,2,mean,0.4813929223493652,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_min@2_mean,ratio_min,2,mean,0.5504780789345218,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_min@2_mean,ratio_min,2,mean,0.4757558567122996,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_min@2_std,ratio_min,2,std,0.1136556062064034,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_min@2_std,ratio_min,2,std,0.1168548907911464,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_min@2_std,ratio_min,2,std,0.1083543968547267,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_min@2_std,ratio_min,2,std,0.1115720992230982,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_min@2_std,ratio_min,2,std,0.1093485471148798,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_min@2_std,ratio_min,2,std,0.1089078808000017,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_min@2_std,ratio_min,2,std,0.1000973703276688,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_min@2_std,ratio_min,2,std,0.0954308070741672,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_min@2_std,ratio_min,2,std,0.2150505315141218,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_min@2_std,ratio_min,2,std,0.09660190436606,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_max@3_mean,ratio_max,3,mean,0.683862801773377,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_max@3_mean,ratio_max,3,mean,0.6969709098814851,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
