hypothesis,model,ratio_max@1_mean,ratio_max@1_std,ratio_max@2_mean,ratio_max@2_std,ratio_max@3_mean,ratio_max@3_std,ratio_max@4_mean,ratio_max@4_std,ratio_max@5_mean,ratio_max@5_std,ratio_max@6_mean,ratio_max@6_std,ratio_max@7_mean,ratio_max@7_std,ratio_mean@1_mean,ratio_mean@1_std,ratio_mean@2_mean,ratio_mean@2_std,ratio_mean@3_mean,ratio_mean@3_std,ratio_mean@4_mean,ratio_mean@4_std,ratio_mean@5_mean,ratio_mean@5_std,ratio_mean@6_mean,ratio_mean@6_std,ratio_mean@7_mean,ratio_mean@7_std,ratio_min@1_mean,ratio_min@1_std,ratio_min@2_mean,ratio_min@2_std,ratio_min@3_mean,ratio_min@3_std,ratio_min@4_mean,ratio_min@4_std,ratio_min@5_mean,ratio_min@5_std,ratio_min@6_mean,ratio_min@6_std,ratio_min@7_mean,ratio_min@7_std
H1,all-MiniLM-L12-v2,0.4105012234046116,0.1072833170123908,0.4788741549173621,0.1461695146880169,0.4974450410669201,0.1484634433011835,0.5703148149969408,0.2049163880073455,0.5976980470741083,0.1973677016605929,0.6060231702268177,0.1949503958266317,0.6286358746355855,0.2134191936168935,0.4105012234046116,0.1072833170123908,0.4771204413274982,0.1173162717164503,0.514231732989256,0.1081958196425307,0.5685087922472183,0.12319442685488,0.6212102928124237,0.1252683674789567,0.6502606169432446,0.1347013511694032,0.6890418857458007,0.1476640649622177,0.4105012234046116,0.1072833170123908,0.4855971265535694,0.1083543968547267,0.5314441826229437,0.1009666841865477,0.5880924021875918,0.1174038814408406,0.6482837301587302,0.1182509067820951,0.6989671293618663,0.132704898179469,0.7388666566491644,0.1375608545064625
H1,all-MiniLM-L6-v2,0.4197838207333498,0.1465619114133041,0.4361846662200793,0.1454474741075265,0.5195006951983887,0.223375476533667,0.5630107302777528,0.2284050944637491,0.6073135502791549,0.2307896948253256,0.6814530554653256,0.2348018084774992,0.6983329978599738,0.228007142456106,0.4197838207333498,0.1465619114133041,0.447049858050658,0.120305664733221,0.5087887408945195,0.1304555930601086,0.5645356269390679,0.144886371835809,0.6116576896763137,0.1482470837879521,0.6714275956601401,0.1501954335078893,0.7130540489593945,0.1542303634373515,0.4197838207333498,0.1465619114133041,0.4706458823954286,0.1115720992230982,0.5188671188820868,0.1042736531090659,0.5812095340978272,0.1197283178394985,0.6409920634920635,0.1219074215196506,0.7020921293618663,0.13315577666885,0.7388666566491644,0.1375608545064625
H1,all-mpnet-base-v2,0.4369574581217274,0.148906469676282,0.5842242652096341,0.2120027305308535,0.683862801773377,0.2198942939660484,0.6919709098814851,0.2108407005479898,0.7427727306097764,0.1971364074289877,0.8167946058706932,0.1621514210254368,0.8167946058706932,0.1621514210254368,0.4369574581217274,0.148906469676282,0.5342428061363431,0.144849564557702,0.5940996738123925,0.1319461378350811,0.6294542352910881,0.1333185717512322,0.6660313723923892,0.1236201395261069,0.7183812216666591,0.1127360402346884,0.747930042077293,0.1033961871206338,0.4369574581217274,0.148906469676282,0.4865891900456328,0.1136556062064034,0.5399785393480898,0.1127477939863168,0.5980044104691653,0.1200019746146026,0.6451587301587302,0.1162299594295288,0.7065152062849432,0.1264484194787774,0.7466925113500191,0.1301570820510379
H1,gemini-embedding,0.4542845887431205,0.228164052705823,0.5386134927100696,0.2608154968386332,0.695126305114354,0.2854010010531191,0.7934780188790571,0.2665201557411218,0.9435160589659592,0.1053025928261026,1.0,0.0,1.0,0.0,0.4542845887431205,0.228164052705823,0.5399472655214813,0.2325666998180354,0.6278558706856591,0.1978804626733602,0.7172923906301774,0.1941598329092011,0.7830335871989126,0.1356475940907767,0.8413707424983221,0.0738555251267965,0.8586398934147935,0.0812864047457225,0.4542845887431205,0.228164052705823,0.5504780789345218,0.2150505315141218,0.5345691826229436,0.1068469317513874,0.5980044104691653,0.1200019746146026,0.6552101370851371,0.1116484963121472,0.7175495630100894,0.1206485534148836,0.7558194954770032,0.1283710650169562
H1,multi-qa-MiniLM-L6-cos-v1,0.4006030297728979,0.1058549721138963,0.4311846662200794,0.1295094631789199,0.4797352993039605,0.1693664776448588,0.523280405670149,0.1934623071620337,0.5508027949129491,0.1958008942807517,0.5763402698992114,0.2109205024929875,0.5970143200287629,0.2165067743642686,0.4006030297728979,0.1058549721138963,0.4460495788380377,0.1118330276346974,0.4965139843958558,0.1285874939720147,0.5459218113941661,0.1282779299485283,0.5949078072390654,0.1366475347524056,0.6365486566564238,0.1476244824520415,0.6713220070549382,0.1527187072645987,0.4006030297728979,0.1058549721138963,0.4740366869931298,0.1089078808000017,0.5219921188820869,0.1103527710670184,0.5812095340978272,0.1197283178394985,0.6378670634920635,0.1197479621728232,0.6989671293618663,0.132704898179469,0.7359254801785762,0.1362782869253802
H1,paraphrase-MiniLM-L12-v2,0.4280012234046116,0.1509110291548971,0.5260004998207057,0.2146768020389703,0.5543585401352676,0.22893845026449,0.5970663448910339,0.2270338912063687,0.688862801773377,0.2261164056878944,0.6969709098814851,0.2171257260288414,0.7523181851552309,0.207303460630631,0.4280012234046116,0.1509110291548971,0.4990270908794966,0.1365589272074191,0.5261254567501966,0.1323946549657691,0.5694453233200361,0.1303568530376173,0.6273289053686385,0.1304246107693678,0.6632003018633943,0.1380711714062651,0.7075342912152418,0.146008110645379,0.4280012234046116,0.1509110291548971,0.4803193487757916,0.1000973703276688,0.5289441826229436,0.0997920398837897,0.5820441614270198,0.1114299663992215,0.6424125180375181,0.1149609050009377,0.7017449071396441,0.1291044449814633,0.7359254801785762,0.1362782869253802
H1,paraphrase-multilingual-MiniLM,0.388759566206208,0.1033332306429255,0.4555361633755,0.1381309159354278,0.4702892501742172,0.1367031728555994,0.5316296419003032,0.2115327138695439,0.5521206434756102,0.2079998700615531,0.5756915296251681,0.2122322525626548,0.6032425479082835,0.2175425264657917,0.388759566206208,0.1033332306429255,0.4620669971341805,0.105028442452682,0.5001726028301433,0.0938209051047117,0.5533522791196782,0.1159810110926597,0.5868977422866765,0.119652683781248,0.6360737608564071,0.1411740479919415,0.6744287533569825,0.1465843989664932,0.388759566206208,0.1033332306429255,0.4813929223493652,0.0954308070741672,0.5347835607156112,0.095059335158382,0.5933079818977367,0.1064045375668126,0.645537518037518,0.1170809563910392,0.7075014860870125,0.1295901287571716,0.7447694344269422,0.1347935471095549
H1,qwen3-embedding-8b,0.4071448538023995,0.1494583382615814,0.4657595875514043,0.2230734628652062,0.5342093502808196,0.209405565061437,0.5675673905953816,0.2318172121493875,0.6129985482808644,0.2249562071730813,0.6934082563188315,0.2316231811903698,0.7111937837817783,0.2315115746617815,0.4071448538023995,0.1494583382615814,0.4636852894224497,0.1451689364255984,0.5147448956127794,0.1159343726959119,0.5580863181677875,0.1335749496954422,0.6084811408979723,0.1302663034411828,0.6644568944065863,0.1380318563869946,0.6995230742973682,0.1534375276193145,0.4071448538023995,0.1494583382615814,0.4757558567122996,0.09660190436606,0.5286664048451658,0.0977640912748171,0.5885302041199589,0.1076691171091079,0.648960137085137,0.1076485832692831,0.7112995630100893,0.1204124569822405,0.7435675113500191,0.1308220880214451
H1,text-embedding-3-large,0.4369574581217274,0.148906469676282,0.683862801773377,0.2198942939660484,0.6969709098814851,0.2171257260288414,0.8310174797709864,0.170760778871563,0.8310174797709864,0.170760778871563,0.8310174797709864,0.170760778871563,0.8529238342860366,0.1748400339746673,0.4369574581217274,0.148906469676282,0.6035231564303195,0.1447733263731207,0.6092399604146513,0.1437286785049812,0.6884696133895527,0.1169625743820869,0.6975295016442777,0.1154633817249105,0.71850741223705,0.1111175753908278,0.747606167391743,0.1295557655174744,0.4369574581217274,0.148906469676282,0.5216619056183484,0.1168548907911464,0.5345691826229436,0.1068469317513874,0.5913079818977367,0.1089908796843876,0.649585137085137,0.1091324801356646,0.711792984062721,0.1206325141460646,0.7409735571016531,0.1313134213571494
H1,text-embedding-3-small,0.4099602027882996,0.1559803287338738,0.527351851172057,0.213601929324087,0.5842242652096341,0.2120027305308535,0.683862801773377,0.2198942939660484,0.6969709098814851,0.2171257260288414,0.8167946058706932,0.1621514210254368,0.8213400604161476,0.1661009472992191,0.4099602027882996,0.1559803287338738,0.5012908147051899,0.1393879550838375,0.5512036817976701,0.1232021458760427,0.609701995639999,0.1218045800186816,0.6486194267514114,0.1325006304787186,0.7062052593765926,0.1032332984183605,0.7294235928195806,0.1193557795532938,0.4099602027882996,0.1559803287338738,0.483811412267855,0.1093485471148798,0.5345691826229436,0.1068469317513874,0.5913079818977367,0.1089908796843876,0.652085137085137,0.1097136350212991,0.7144245630100894,0.1205731986142241,0.7478944344269423,0.1341187542719574
