hypothesis,model,ratio_max@1_mean,ratio_max@1_std,ratio_max@2_mean,ratio_max@2_std,ratio_max@3_mean,ratio_max@3_std,ratio_max@4_mean,ratio_max@4_std,ratio_max@5_mean,ratio_max@5_std,ratio_max@6_mean,ratio_max@6_std,ratio_max@7_mean,ratio_max@7_std,ratio_mean@1_mean,ratio_mean@1_std,ratio_mean@2_mean,ratio_mean@2_std,ratio_mean@3_mean,ratio_mean@3_std,ratio_mean@4_mean,ratio_mean@4_std,ratio_mean@5_mean,ratio_mean@5_std,ratio_mean@6_mean,ratio_mean@6_std,ratio_mean@7_mean,ratio_mean@7_std,ratio_min@1_mean,ratio_min@1_std,ratio_min@2_mean,ratio_min@2_std,ratio_min@3_mean,ratio_min@3_std,ratio_min@4_mean,ratio_min@4_std,ratio_min@5_mean,ratio_min@5_std,ratio_min@6_mean,ratio_min@6_std,ratio_min@7_mean,ratio_min@7_std,votes_top1_ratio_mean,votes_top1_ratio_std
H1,all-MiniLM-L12-v2,0.0604032570917843,0.0584755996512654,0.1689118838279652,0.1585947846878041,0.1708594895847815,0.1519023770743776,0.2982958097835008,0.2395542895604828,0.3424885847583215,0.2686987938391491,0.3173329900490033,0.2582658073787994,0.3670988723148856,0.3402673504701112,0.0604032570917843,0.0584755996512654,0.116085568309775,0.0949959006340861,0.1169544700895998,0.0769767522720858,0.1534272487866888,0.070465319310705,0.1993715128256039,0.0837163819450773,0.2067250118099254,0.1977143953505698,0.2334361135860407,0.2276802597071835,0.0604032570917843,0.0584755996512654,0.0467632316084328,0.0724750322298155,0.0411910311910311,0.0664782005326786,0.0374206349206349,0.0753896909960519,0.0404411764705882,0.0805410756681764,0.0642857142857142,0.2292986551521072,0.12,0.3138890182683582,,
H1,all-MiniLM-L6-v2,0.084395288019514,0.170485398305921,0.0978560824822266,0.1623765524648514,0.2323831395705655,0.2954290141080726,0.2894968543058526,0.2854118549665692,0.3704783983073457,0.315591816131724,0.4609613009380404,0.3296693483409021,0.4984652764311464,0.3332185416846626,0.084395288019514,0.170485398305921,0.0647769091108332,0.1021736008485062,0.1136999143405796,0.1056858364843774,0.1568259467041787,0.1206067772571487,0.1951407551038423,0.1548758159980152,0.2667797281753302,0.2071261233839359,0.3126609336798588,0.2041367125863932,0.084395288019514,0.170485398305921,0.0205357142857142,0.0502661418462935,0.0171428571428571,0.0535726816896044,0.0225,0.0697269109115208,0.0225,0.0697269109115208,0.0742857142857142,0.2307043341507011,0.12,0.3138890182683582,,
H1,all-mpnet-base-v2,0.1121564288394783,0.1737378518380847,0.3549050133596906,0.2902010055983708,0.5046993714139171,0.3009767846747322,0.4998400601944744,0.2819672358264588,0.5493220984668353,0.2935290087116563,0.6789901615819907,0.242609625061537,0.6487446663364954,0.2842967904030904,0.1121564288394783,0.1737378518380847,0.2206398774246176,0.1608396937288896,0.2724963504353516,0.146046608002748,0.2826000210016962,0.1309107854890744,0.2819839551164621,0.1239976696867526,0.3679276376842976,0.1616349327958283,0.3415516851397083,0.1985305096362885,0.1121564288394783,0.1737378518380847,0.0509649122807017,0.0755803797375172,0.0645838883338883,0.0892452593275062,0.0661951447245564,0.102565615066214,0.0304411764705882,0.0716081820943105,0.0831746031746031,0.2294229011939764,0.1404761904761904,0.3103632342150159,,
H1,gemini-embedding,0.1550688301636444,0.3159603307002662,0.2901477491488933,0.374804408148271,0.5436124657752577,0.4162393178257492,0.6845421793119162,0.3990746084389285,0.9174576909445332,0.141988691272157,1.0,0.0,1.0,0.0,0.1550688301636444,0.3159603307002662,0.2472177110129894,0.3493814438959242,0.3525221498426491,0.2866789527470042,0.4762851570126177,0.2918479521819325,0.5612058087945757,0.1849497008101839,0.6493961246999046,0.1085941357457149,0.6790476192092105,0.1452575928207282,0.1550688301636444,0.3159603307002662,0.1811236424394319,0.3561778177152499,0.0511910311910311,0.0745128951393067,0.0661951447245564,0.102565615066214,0.0545320855614973,0.0867586386169191,0.1121230158730158,0.2294227955281581,0.1714285714285714,0.3103343926393007,,
H1,multi-qa-MiniLM-L6-cos-v1,0.0447571301247771,0.0515652247937194,0.0853560824822266,0.1110381139538547,0.1511331395705655,0.1713020363401704,0.201877806686805,0.1931569086425752,0.2184013087302561,0.2351600799982951,0.2705514234591974,0.2733104952279894,0.2744464173541914,0.2835820045294086,0.0447571301247771,0.0515652247937194,0.0606619220307298,0.074672505925446,0.094568189855914,0.1121602891859778,0.1131816975410988,0.0747228432253038,0.1354168353239076,0.1089701316693038,0.1868650478613944,0.1989211544681892,0.1783042402418594,0.2071579355048803,0.0447571301247771,0.0515652247937194,0.0259450710108604,0.0506977084455759,0.0271428571428571,0.0671500556051637,0.0225,0.0697269109115208,0.0125,0.0559016994374947,0.0642857142857142,0.2292986551521072,0.11,0.3076224617081275,,
H1,paraphrase-MiniLM-L12-v2,0.0275450206398348,0.0413005956918926,0.135600527786346,0.1984382726704461,0.2005916324419244,0.2818970825118367,0.2327849039754812,0.2670405253315665,0.2090417099956573,0.2575204077481415,0.2596839499989579,0.2845041936256228,0.2702056505206585,0.3003662004694922,0.0275450206398348,0.0413005956918926,0.0876993516720629,0.1136698513389401,0.1275839004236824,0.1624739929827411,0.1591314907795464,0.1681878572739407,0.1394949077225504,0.1351332108065114,0.1806396633040808,0.20990331005903,0.1602189485427588,0.2129510442773365,0.0275450206398348,0.0413005956918926,0.0311236424394319,0.0498059251665105,0.044048174048174,0.0720703956967867,0.0395284780578898,0.0743919999673961,0.0282820855614973,0.0560153202531209,0.0849801587301587,0.2254627918268018,0.11,0.3076224617081275,,
H1,paraphrase-multilingual-MiniLM,0.0250674185317979,0.0360194811538983,0.1281739005468785,0.1561501299677681,0.1199405748253692,0.1522030603036649,0.2288921671848242,0.2705522575375538,0.226005995709943,0.2557510130493152,0.2689644743291449,0.2773173947427002,0.2853431399469409,0.2912824110028014,0.0250674185317979,0.0360194811538983,0.0866048114461667,0.0826730326880455,0.0865033078684794,0.0702395973887483,0.1206945618555594,0.0912594044510717,0.1078079886175429,0.0556263211222331,0.1808196674668434,0.1991877150633809,0.1813324088780393,0.2079244697720883,0.0250674185317979,0.0360194811538983,0.0344005942457954,0.0457191606942512,0.0460124597624597,0.063861535492712,0.0430999066293183,0.0741084684636402,0.031590909090909,0.0722092044271486,0.0876785714285714,0.2298643969331562,0.1371428571428571,0.3115533998293394,,
H1,qwen3-embedding-8b,0.0649642125590268,0.1716368616221391,0.1636004149041906,0.3069012602431182,0.2513106780726178,0.2864699777335965,0.3110587134992907,0.3235811995999833,0.3768178897126265,0.3164645203762353,0.5012119048027748,0.3424112365443266,0.5295283106191806,0.3481584948167797,0.0649642125590268,0.1716368616221391,0.0978732266236396,0.1537115777019251,0.1199048012868579,0.097558617141936,0.1434558238482736,0.1177350376545094,0.1798545771118531,0.1322821036712828,0.2473718801194988,0.1966778361062798,0.2833480613820522,0.2089876243498304,0.0649642125590268,0.1716368616221391,0.0239807852965747,0.0426712471244653,0.034048174048174,0.062537553518374,0.0323856209150326,0.0707160753588243,0.0345320855614973,0.072052551935434,0.0921230158730158,0.2296175281854083,0.1304761904761904,0.3115641255348963,,
H1,text-embedding-3-large,0.1121564288394783,0.1737378518380847,0.3549050133596906,0.2902010055983708,0.5213660380805838,0.3191013059516057,0.5573400601944745,0.334219261552823,0.7399279290397711,0.2447668751109549,0.7320670846589137,0.2482037370427619,0.7743507269425561,0.2463371491471701,0.1121564288394783,0.1737378518380847,0.2206398774246176,0.1608396937288896,0.2980875057303608,0.1845517754674501,0.3210464300148832,0.2055215552144192,0.3601521211784783,0.1429189335765668,0.3477089007106512,0.1779990732359684,0.3846613874915366,0.1877356296474296,0.1121564288394783,0.1737378518380847,0.0509649122807017,0.0755803797375172,0.0511910311910311,0.0745128951393067,0.0395284780578898,0.0743919999673961,0.0382820855614973,0.067396615459897,0.0949801587301587,0.2259301098239658,0.1233333333333333,0.3060978706766,,
H1,text-embedding-3-small,0.0717116873065015,0.1719925183523495,0.2589966791496026,0.297743206724709,0.3384196095091552,0.2849737563228967,0.4873400601944744,0.2968312134491823,0.5155678897126266,0.305536434626345,0.6789901615819907,0.242609625061537,0.6987446663364955,0.250071495351933,0.0717116873065015,0.1719925183523495,0.1606932250497847,0.1540636695068059,0.1937455707723406,0.1211563502172292,0.2350823197588074,0.1092231954940064,0.2708003406773019,0.1348352949480301,0.3243396369715307,0.1764953737745735,0.3319069055849962,0.1840467866539165,0.0717116873065015,0.1719925183523495,0.044516499582289,0.0575391785931017,0.0511910311910311,0.0745128951393067,0.0395284780578898,0.0743919999673961,0.0445320855614973,0.0804026054641858,0.1021230158730158,0.2297493794047345,0.1471428571428571,0.3101262692841537,,
