family,model,observed_mean,random_mean,p95,delta_to_p95,above_p95
embedding_h2,all-mpnet-base-v2,0.3692149439033312,0.3487885950031029,0.42853330093356495,-0.05931835703023375,False
embedding_h2,text-embedding-3-large,0.40415883345719383,0.3479005086112635,0.4274363916334805,-0.023277558176286683,False
embedding_h2,all-MiniLM-L12-v2,0.34295169575136814,0.3472447553103366,0.4241338515224938,-0.08118215577112564,False
embedding_h2,all-MiniLM-L6-v2,0.3137551287735314,0.34983427001054374,0.4270780308661907,-0.11332290209265933,False
embedding_h2,text-embedding-3-small,0.35626431209868803,0.3494328615631498,0.42700000770393876,-0.07073569560525073,False
embedding_h2,multi-qa-MiniLM-L6-cos-v1,0.36201131849332696,0.34913653227174085,0.4273412649232595,-0.06532994642993256,False
embedding_h2,paraphrase-MiniLM-L12-v2,0.3765058301114061,0.34929976289851444,0.429069774526576,-0.05256394441516993,False
embedding_h2,paraphrase-multilingual-MiniLM,0.35738668053574846,0.3489586773829912,0.4282084750499889,-0.07082179451424042,False
embedding_h2,qwen3-embedding-8b,0.3745023475459771,0.349618045121312,0.4285996691919588,-0.05409732164598169,False
llm_judge_tournament_description,anthropic-claude-3-haiku,0.21086131330323,0.3488187268059661,0.4264336749589094,-0.2155723616556794,False
llm_judge_tournament_description,deepseek-deepseek-v3.1-terminus,0.4234852826239278,0.34963273362982444,0.43003204964676767,-0.00654676702283985,False
llm_judge_tournament_description,google-gemini-3.1-pro-preview,0.4434488443841926,0.35043090582405845,0.4320131775039941,0.01143566688019848,True
llm_judge_tournament_description,openai-gpt-oss-120b,0.3474245540452186,0.3490459384029318,0.42614461470796805,-0.07872006066274945,False
llm_judge_tournament_description,qwen-qwen-2.5-7b-instruct,0.3242945514503244,0.3490505697476494,0.42783858371135114,-0.10354403226102676,False
llm_judge_tournament_description,x-ai-grok-4.3,0.30859221509260676,0.34820669622412403,0.42675075443075394,-0.11815853933814718,False
