prompt_id,ratio_max@1,ratio_mean@1,ratio_min@1,ratio_max@2,ratio_mean@2,ratio_min@2,ratio_max@3,ratio_mean@3,ratio_min@3,ratio_max@4,ratio_mean@4,ratio_min@4,ratio_max@5,ratio_mean@5,ratio_min@5,ratio_max@6,ratio_mean@6,ratio_min@6,ratio_max@7,ratio_mean@7,ratio_min@7
291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.6274509803921569,0.45454545454545453,0.7586206896551724,0.5441176470588235,0.29411764705882354,0.75,0.47619047619047616,0.23529411764705882,0.7407407407407407,0.41304347826086957,0.0,0.7407407407407407,0.5463917525773198,0.0,0.7307692307692307,0.5300000000000001,0.0
291::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.19444444444444445,0.1111111111111111,0.6111111111111112,0.3673469387755102,0.15384615384615385,0.6111111111111112,0.32786885245901637,0.16666666666666666,0.6111111111111112,0.3194444444444445,0.18181818181818182,1.0,0.5128205128205127,0.2857142857142857,1.0,0.5121951219512194,0.4
291::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.1,0.0,0.6521739130434783,0.3454545454545454,0.0,0.7272727272727273,0.5147058823529411,0.0,0.7272727272727273,0.5540540540540542,0.0,0.7272727272727273,0.5375000000000001,0.0,0.7272727272727273,0.5176470588235295,0.0
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,0.11764705882352941,0.11764705882352941,0.11764705882352941,1.0,0.5625,0.125,1.0,0.6000000000000001,0.2,1.0,0.5217391304347826,0.25,1.0,0.4230769230769231,0.0,1.0,0.3684210526315789,0.0,1.0,0.3500000000000002,0.0
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,0.0,0.0,0.0,0.16666666666666666,0.11363636363636363,0.0,0.16666666666666666,0.08928571428571425,0.0,0.16666666666666666,0.109375,0.0,0.16666666666666666,0.10144927536231886,0.0,0.13793103448275862,0.09589041095890422,0.0,0.13793103448275862,0.07894736842105253,0.0
294::https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7368421052631579,0.6216216216216216,0.5,0.7222222222222222,0.46,0.1875,0.5833333333333334,0.27450980392156865,0.0,0.5454545454545454,0.2800000000000001,0.0,0.0,0.0,0.0,1.0,0.14285714285714354,0.0
294::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.4406779661016949,0.0,0.78125,0.3164556962025317,0.0,1.0,0.6436781609195402,0.0,1.0,0.6774193548387097,0.0,1.0,0.6494845360824743,0.0,1.0,0.79,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,0.0,0.0,0.0,0.35,0.20588235294117646,0.0,0.1875,0.25641025641025633,0.0,0.13333333333333333,0.21951219512195122,0.0,0.5384615384615384,0.39024390243902435,0.0,0.5384615384615384,0.35897435897435914,0.0,0.45454545454545453,0.14705882352941166,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.18181818181818182,0.14285714285714285,0.14285714285714285,0.1428571428571427,0.14285714285714285,0.14285714285714285,0.09375,0.0,0.42857142857142855,0.25000000000000006,0.0,1.0,0.5641025641025642,0.0,1.0,0.6153846153846153,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,0.5813953488372093,0.05263157894736842,1.0,0.40983606557377045,0.0,1.0,0.32051282051282054,0.0,1.0,0.49438202247191015,0.0,1.0,0.44791666666666663,0.0,1.0,0.4117647058823528,0.0
