prompt_id,ratio_max@1,ratio_mean@1,ratio_min@1,ratio_max@2,ratio_mean@2,ratio_min@2,ratio_max@3,ratio_mean@3,ratio_min@3,ratio_max@4,ratio_mean@4,ratio_min@4,ratio_max@5,ratio_mean@5,ratio_min@5,ratio_max@6,ratio_mean@6,ratio_min@6,ratio_max@7,ratio_mean@7,ratio_min@7
291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.19607843137254902,0.0,1.0,0.573529411764706,0.0,1.0,0.6547619047619048,0.0,1.0,0.7608695652173915,0.0,1.0,0.752577319587629,0.0,1.0,0.7400000000000002,0.0
291::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.12244897959183675,0.0,0.3888888888888889,0.21311475409836064,0.0,0.3888888888888889,0.1944444444444445,0.0,0.35294117647058826,0.23076923076923073,0.0,0.35294117647058826,0.2317073170731707,0.0
291::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.05,0.0,0.6521739130434783,0.3090909090909092,0.0,0.6363636363636364,0.25,0.0,0.6363636363636364,0.2567567567567567,0.0,0.6363636363636364,0.22500000000000003,0.0,0.6363636363636364,0.2,0.0
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0625,0.09375,0.125,0.0,0.07500000000000001,0.2,1.0,0.391304347826087,0.25,1.0,0.6153846153846154,0.25,1.0,0.5614035087719297,0.2857142857142857,1.0,0.5000000000000001,0.0
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,0.1,0.1,0.1,1.0,0.75,0.21428571428571427,1.0,0.625,0.16666666666666666,1.0,0.59375,0.25,1.0,0.5507246376811595,0.0,1.0,0.5068493150684932,0.0,1.0,0.47368421052631565,0.0
294::https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,0.09523809523809523,0.09523809523809523,0.09523809523809523,1.0,0.5675675675675675,0.1111111111111111,1.0,0.42000000000000015,0.125,1.0,0.5882352941176471,0.2,1.0,0.6,0.2222222222222222,1.0,0.8108108108108111,0.6666666666666666,1.0,1.0,1.0
294::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.0847457627118644,0.07692307692307693,0.78125,0.379746835443038,0.09523809523809523,0.7741935483870968,0.3793103448275862,0.2,0.7666666666666667,0.4301075268817204,0.2222222222222222,0.75,0.36082474226804134,0.0,1.0,0.6299999999999999,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,0.0,0.0,0.0,0.35,0.20588235294117646,0.0,0.1875,0.25641025641025633,0.0,0.13333333333333333,0.24390243902439024,0.0,0.15384615384615385,0.29268292682926855,0.0,1.0,0.6410256410256411,0.0,1.0,0.588235294117647,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,0.2,0.2,0.2,0.2,0.13636363636363635,0.0,0.42857142857142855,0.3214285714285714,0.0,0.42857142857142855,0.3125,0.0,0.42857142857142855,0.44444444444444453,0.0,0.38461538461538464,0.4871794871794872,0.0,0.3333333333333333,0.5384615384615383,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.6511627906976745,0.21052631578947367,1.0,0.5737704918032788,0.2222222222222222,1.0,0.5384615384615384,0.23529411764705882,1.0,0.47191011235955044,0.0,1.0,0.4687500000000001,0.0,1.0,0.5000000000000001,0.0
309::https://blog.reedsy.com/creative-writing-prompts/character/center-your-story-around-a-character-who-yearns-fo/,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.3125,0.2361111111111111,0.08333333333333333,0.375,0.38888888888888895,0.1111111111111111,0.375,0.48148148148148145,0.1111111111111111,0.375,0.42400000000000004,0.058823529411764705,0.5,0.5499999999999999,0.06666666666666667,0.5,0.5354838709677419,0.06666666666666667
309::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-two-characters-who-like-e/,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.5,0.3,0.07142857142857142,0.5,0.2368421052631579,0.1111111111111111,0.5,0.29545454545454547,0.14285714285714285,1.0,0.6041666666666669,0.2,1.0,0.8039215686274508,0.2,1.0,0.7547169811320754,0.2
