prompt_id,ratio_max@1,ratio_mean@1,ratio_min@1,ratio_max@2,ratio_mean@2,ratio_min@2,ratio_max@3,ratio_mean@3,ratio_min@3,ratio_max@4,ratio_mean@4,ratio_min@4,ratio_max@5,ratio_mean@5,ratio_min@5,ratio_max@6,ratio_mean@6,ratio_min@6,ratio_max@7,ratio_mean@7,ratio_min@7
291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,0.3,0.3,0.3,0.525,0.4520547945205479,0.36363636363636365,0.525,0.4752475247524753,0.42857142857142855,0.525,0.5116279069767442,0.42857142857142855,1.0,0.7066666666666667,0.5714285714285714,1.0,0.7976190476190476,0.6666666666666666,1.0,0.8756756756756757,0.7058823529411765
291::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,0.4827586206896552,0.4827586206896552,0.4827586206896552,1.0,0.7413793103448276,0.4827586206896552,1.0,0.6829268292682927,0.5416666666666666,1.0,0.6857142857142857,0.5652173913043478,1.0,0.7086614173228347,0.5909090909090909,1.0,0.7034482758620689,0.6666666666666666,1.0,0.7701863354037267,0.75
291::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7096774193548387,0.5714285714285714,0.8235294117647058,0.6363636363636365,0.46153846153846156,0.8235294117647058,0.6548672566371682,0.48,0.8235294117647058,0.6641221374045801,0.6666666666666666,0.8235294117647058,0.697986577181208,0.6666666666666666,0.8235294117647058,0.6987951807228916,0.7058823529411765
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.49122807017543857,0.5,0.4827586206896552,0.5316455696202532,0.6363636363636364,0.4827586206896552,0.5454545454545454,0.6,1.0,0.6974789915966387,0.6,1.0,0.746376811594203,0.631578947368421,1.0,0.7548387096774194,0.7058823529411765
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,0.3170731707317073,0.3170731707317073,0.3170731707317073,1.0,0.8181818181818182,0.52,1.0,0.8876404494382022,0.5652173913043478,1.0,0.8333333333333334,0.5789473684210527,1.0,0.8225806451612903,0.6875,1.0,0.8357142857142857,0.6875,1.0,0.8580645161290322,0.7333333333333333
294::https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.9090909090909091,0.6984126984126984,0.4666666666666667,0.9090909090909091,0.6483516483516484,0.5,0.9090909090909091,0.6283185840707964,0.5454545454545454,0.9090909090909091,0.6940298507462687,0.5714285714285714,0.9090909090909091,0.8120805369127517,0.8,1.0,0.9447852760736196,0.8571428571428571
294::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,1.0,1.0,1.0,1.0,0.7777777777777778,0.5135135135135135,1.0,0.6991150442477876,0.5,1.0,0.6716417910447762,0.5238095238095238,1.0,0.7142857142857143,0.55,1.0,0.7413793103448276,0.55,1.0,0.77720207253886,0.5789473684210527
294::https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.7142857142857143,0.6,0.8064516129032258,0.6710526315789473,0.55,0.8064516129032258,0.7340425531914894,0.6111111111111112,0.8064516129032258,0.7142857142857143,0.6111111111111112,0.8064516129032258,0.765625,0.6875,0.8064516129032258,0.8251748251748252,0.7333333333333333
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.5227272727272727,0.6111111111111112,0.6153846153846154,0.6290322580645161,0.6111111111111112,0.6923076923076923,0.7307692307692307,0.6875,1.0,0.8829787234042553,0.6875,1.0,0.9,0.6875,1.0,0.8951612903225806,0.7857142857142857
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4,0.36666666666666664,0.45714285714285713,0.4468085106382979,0.3793103448275862,0.45714285714285713,0.4344262295081967,0.39285714285714285,0.45714285714285713,0.4722222222222222,0.5,0.8571428571428571,0.6012269938650306,0.5789473684210527,0.8571428571428571,0.6464088397790055,0.6111111111111112
