protocol_id,role,model,observed_mean,random_mean,p95,delta_to_p95,above_p95
tournament_description,primary,anthropic-claude-3-haiku,0.21086131330323,0.3488187268059661,0.4264336749589094,-0.2155723616556794,False
tournament_description,primary,deepseek-deepseek-v3.1-terminus,0.4234852826239278,0.34963273362982444,0.43003204964676767,-0.00654676702283985,False
tournament_description,primary,google-gemini-3.1-pro-preview,0.4434488443841926,0.35043090582405845,0.4320131775039941,0.01143566688019848,True
tournament_description,primary,openai-gpt-oss-120b,0.3474245540452186,0.3490459384029318,0.42614461470796805,-0.07872006066274945,False
tournament_description,primary,qwen-qwen-2.5-7b-instruct,0.3242945514503244,0.3490505697476494,0.42783858371135114,-0.10354403226102676,False
tournament_description,primary,x-ai-grok-4.3,0.30859221509260676,0.34820669622412403,0.42675075443075394,-0.11815853933814718,False
with_anchor_no_desc,ablation,anthropic-claude-3.7-sonnet,0.3348698802602069,0.34827101234479196,0.42557537229948805,-0.09070549203928113,False
with_anchor_no_desc,ablation,deepseek-deepseek-v3.1-terminus,0.31560080513107197,0.35059346102769645,0.4295363949148216,-0.11393558978374962,False
with_anchor_no_desc,ablation,x-ai-grok-4.1-fast,0.402404324071543,0.3474183501041469,0.42724096519239896,-0.024836641120855985,False
with_anchor_with_desc,ablation,anthropic-claude-3.7-sonnet,0.40497638671556074,0.3505855080191413,0.43329961213740165,-0.028323225421840903,False
with_anchor_with_desc,ablation,deepseek-deepseek-v3.1-terminus,0.39205646624261237,0.34893334139016513,0.4277025721420532,-0.03564610589944084,False
no_anchor_no_desc,ablation,deepseek-deepseek-v3.1-terminus,0.3392360032443323,0.3501996492088403,0.43130081583414054,-0.09206481258980825,False
no_anchor_no_desc,ablation,openai-gpt-oss-120b,0.35724036577115525,0.350102209150676,0.42696367052077017,-0.06972330474961491,False
no_anchor_no_desc,ablation,qwen-qwen-2.5-7b-instruct,0.2797950983655842,0.34760420264757824,0.42332115485193483,-0.14352605648635064,False
no_anchor_no_desc,ablation,x-ai-grok-4.1-fast,0.28009340800480126,0.3502136616452854,0.4263148237484946,-0.14622141574369335,False
no_anchor_with_desc,ablation,deepseek-deepseek-v3.1-terminus,0.3701905917519527,0.34771513028422446,0.42707338559963953,-0.05688279384768685,False
no_anchor_with_desc,ablation,openai-gpt-oss-120b,0.3841376427456701,0.3493132317548829,0.42752753526604814,-0.04338989252037806,False
no_anchor_with_desc,ablation,qwen-qwen-2.5-7b-instruct,0.30167754373473465,0.3490704375772501,0.4259646062961943,-0.12428706256145966,False
no_anchor_with_desc,ablation,x-ai-grok-4.1-fast,0.26391695171892715,0.3488157329139142,0.42626990070904974,-0.1623529489901226,False
