prompt_id,ratio_max@1,ratio_mean@1,ratio_min@1,ratio_max@2,ratio_mean@2,ratio_min@2,ratio_max@3,ratio_mean@3,ratio_min@3,ratio_max@4,ratio_mean@4,ratio_min@4,ratio_max@5,ratio_mean@5,ratio_min@5,ratio_max@6,ratio_mean@6,ratio_min@6,ratio_max@7,ratio_mean@7,ratio_min@7
291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,0.275,0.275,0.275,0.525,0.4383561643835616,0.3333333333333333,0.525,0.44554455445544555,0.39285714285714285,0.525,0.43410852713178294,0.39285714285714285,0.525,0.47333333333333333,0.5238095238095238,0.525,0.511904761904762,0.6111111111111112,0.525,0.5243243243243244,0.6470588235294118
291::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.43103448275862066,0.3793103448275862,0.4827586206896552,0.43902439024390244,0.4583333333333333,1.0,0.6190476190476191,0.4782608695652174,1.0,0.6141732283464567,0.5,1.0,0.6896551724137931,0.6111111111111112,1.0,0.7080745341614907,0.6875
291::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.45161290322580644,0.5,0.5294117647058824,0.5227272727272728,0.5384615384615384,0.5294117647058824,0.5398230088495575,0.56,0.5294117647058824,0.5877862595419847,0.7777777777777778,0.5294117647058824,0.5906040268456376,0.6111111111111112,0.5294117647058824,0.6325301204819277,0.6470588235294118
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.631578947368421,0.5,0.7586206896551724,0.6329113924050633,0.6363636363636364,0.7586206896551724,0.6262626262626263,0.6,1.0,0.7647058823529411,0.6,1.0,0.8043478260869565,0.631578947368421,1.0,0.8258064516129032,0.7058823529411765
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.34146341463414637,0.3787878787878788,0.44,0.5609756097560976,0.5393258426966292,0.4782608695652174,1.0,0.8240740740740741,0.5789473684210527,1.0,0.8467741935483871,0.6875,1.0,0.8642857142857144,0.6875,1.0,0.9032258064516129,0.7333333333333333
294::https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.45454545454545453,0.4603174603174603,0.4666666666666667,0.9090909090909091,0.6483516483516484,0.5,0.9090909090909091,0.7168141592920354,0.6363636363636364,0.9090909090909091,0.7611940298507462,0.6666666666666666,0.9090909090909091,0.7651006711409396,0.8,1.0,0.901840490797546,0.8571428571428571
294::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.8409090909090909,0.6296296296296297,0.3783783783783784,0.8409090909090909,0.6194690265486725,0.4375,0.8409090909090909,0.6119402985074627,0.5714285714285714,0.8409090909090909,0.6558441558441558,0.6,0.8409090909090909,0.6724137931034483,0.6,0.8409090909090909,0.7150259067357513,0.631578947368421
294::https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.5806451612903226,0.5178571428571429,0.44,0.5806451612903226,0.5789473684210527,0.55,0.6451612903225806,0.6808510638297872,0.6111111111111112,0.6451612903225806,0.6696428571428572,0.6111111111111112,0.8064516129032258,0.7812500000000001,0.6875,0.8064516129032258,0.8251748251748252,0.7333333333333333
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6363636363636364,0.6666666666666666,0.6153846153846154,0.6290322580645161,0.6111111111111112,0.6153846153846154,0.6410256410256411,0.6875,0.6923076923076923,0.7234042553191489,0.6875,0.6923076923076923,0.7363636363636364,0.6875,0.6923076923076923,0.7983870967741935,0.7857142857142857
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.6923076923076923,0.5,0.8571428571428571,0.648936170212766,0.5172413793103449,0.8571428571428571,0.6311475409836066,0.5357142857142857,0.8571428571428571,0.6875,0.6818181818181818,0.8571428571428571,0.7239263803680982,0.7894736842105263,0.8571428571428571,0.7348066298342542,0.8333333333333334
