prompt_id,ratio_max@1,ratio_mean@1,ratio_min@1,ratio_max@2,ratio_mean@2,ratio_min@2,ratio_max@3,ratio_mean@3,ratio_min@3,ratio_max@4,ratio_mean@4,ratio_min@4,ratio_max@5,ratio_mean@5,ratio_min@5,ratio_max@6,ratio_mean@6,ratio_min@6,ratio_max@7,ratio_mean@7,ratio_min@7
291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,0.0,0.0,0.0,0.3448275862068966,0.19607843137254902,0.0,0.3448275862068966,0.17647058823529413,0.0,0.32142857142857145,0.13095238095238096,0.0,0.2962962962962963,0.14130434782608695,0.0,0.2962962962962963,0.154639175257732,0.0,0.2692307692307692,0.12000000000000008,0.0
291::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.06122448979591837,0.0,1.0,0.3442622950819672,0.0,1.0,0.3194444444444445,0.0,1.0,0.42307692307692313,0.0,1.0,0.4268292682926828,0.0
291::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.15,0.17647058823529413,0.30434782608695654,0.23636363636363641,0.2,0.2727272727272727,0.23529411764705882,0.21428571428571427,0.2727272727272727,0.2702702702702703,0.42857142857142855,0.2727272727272727,0.2375,0.0,0.2727272727272727,0.2823529411764706,0.0
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5625,0.34375,0.125,0.5333333333333333,0.27500000000000013,0.2,0.5333333333333333,0.1956521739130435,0.0,1.0,0.4615384615384614,0.0,1.0,0.5263157894736842,0.0,1.0,0.5499999999999999,0.0
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,0.0,0.0,0.0,0.1,0.06818181818181818,0.0,0.4,0.26785714285714285,0.0,1.0,0.703125,0.0,1.0,0.7246376811594203,0.0,1.0,0.7397260273972605,0.0,1.0,0.8026315789473685,0.0
294::https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.05263157894736842,0.08108108108108109,0.1111111111111111,0.8333333333333334,0.36000000000000015,0.125,0.75,0.37254901960784315,0.2,0.7272727272727273,0.35999999999999976,0.2222222222222222,0.4,0.054054054054053884,0.0,1.0,0.23809523809523844,0.0
294::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.7878787878787878,0.4915254237288136,0.11538461538461539,0.78125,0.4556962025316456,0.14285714285714285,0.7741935483870968,0.40229885057471265,0.1,0.7666666666666667,0.4301075268817204,0.1111111111111111,0.75,0.4123711340206186,0.1111111111111111,0.75,0.45,0.125
294::https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,0.0,0.0,0.0,0.35,0.20588235294117646,0.0,0.1875,0.17948717948717943,0.0,0.26666666666666666,0.2682926829268293,0.0,0.15384615384615385,0.0975609756097562,0.0,0.5384615384615384,0.2820512820512822,0.0,0.45454545454545453,0.2647058823529414,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2727272727272727,0.14285714285714285,0.2857142857142857,0.1785714285714285,0.0,0.2857142857142857,0.125,0.0,0.42857142857142855,0.27777777777777773,0.0,0.38461538461538464,0.2564102564102564,0.0,0.3333333333333333,0.35897435897435886,0.0
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7916666666666666,0.5348837209302325,0.21052631578947367,0.7916666666666666,0.4590163934426229,0.2222222222222222,0.7916666666666666,0.4230769230769231,0.23529411764705882,0.7916666666666666,0.49438202247191015,0.36363636363636365,0.782608695652174,0.5312500000000001,0.5,0.782608695652174,0.5294117647058824,0.5714285714285714
309::https://blog.reedsy.com/creative-writing-prompts/character/center-your-story-around-a-character-who-yearns-fo/,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.375,0.2777777777777778,0.08333333333333333,0.375,0.2444444444444444,0.1111111111111111,0.375,0.3425925925925926,0.1111111111111111,0.375,0.44,0.11764705882352941,0.375,0.5142857142857142,0.13333333333333333,1.0,0.7741935483870966,0.13333333333333333
309::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-two-characters-who-like-e/,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.25,0.16666666666666666,0.07142857142857142,0.25,0.10526315789473689,0.0,0.5,0.2727272727272727,0.0,0.5,0.24999999999999992,0.0,0.4666666666666667,0.29411764705882354,0.0,0.42857142857142855,0.3207547169811319,0.0
309::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-includes-the-line-do-i-know-you/,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.029411764705882353,0.0,0.3157894736842105,0.15555555555555559,0.0,0.3157894736842105,0.12727272727272726,0.0,0.3157894736842105,0.13846153846153852,0.0,0.5,0.24657534246575344,0.0,0.5,0.26582278481012656,0.0
309::https://blog.reedsy.com/creative-writing-prompts/short-story/start-or-end-your-story-with-a-character-making-fo/,0.3,0.3,0.3,0.3,0.16666666666666666,0.0,0.6,0.36000000000000004,0.0,0.6,0.3870967741935484,0.0,0.6,0.3428571428571429,0.0,0.5555555555555556,0.2972972972972974,0.0,0.6666666666666666,0.4358974358974356,0.0
309::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-person-s-name-in-the-title/,0.24,0.24,0.24,1.0,0.9393939393939394,0.75,1.0,0.794871794871795,0.14285714285714285,1.0,0.7045454545454546,0.16666666666666666,1.0,0.6326530612244899,0.16666666666666666,1.0,0.7307692307692308,0.25,1.0,0.7037037037037038,0.3333333333333333
316::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-s-public-image-an/,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.5,0.1111111111111111,0.875,0.3199999999999999,0.0,0.75,0.32,0.0,0.75,0.3200000000000003,0.0,1.0,0.4999999999999997,0.0,1.0,1.0,1.0
