prompt_id,ratio_max@1,ratio_mean@1,ratio_min@1,ratio_max@2,ratio_mean@2,ratio_min@2,ratio_max@3,ratio_mean@3,ratio_min@3,ratio_max@4,ratio_mean@4,ratio_min@4,ratio_max@5,ratio_mean@5,ratio_min@5,ratio_max@6,ratio_mean@6,ratio_min@6,ratio_max@7,ratio_mean@7,ratio_min@7
291::https://blog.reedsy.com/creative-writing-prompts/angst/center-your-story-around-a-character-s-addiction-o/,0.825,0.825,0.825,0.825,0.7397260273972602,0.6363636363636364,0.825,0.6435643564356437,0.39285714285714285,1.0,0.813953488372093,0.39285714285714285,1.0,0.8866666666666667,0.5238095238095238,1.0,0.9583333333333333,0.6111111111111112,1.0,0.9567567567567568,0.6470588235294118
291::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-a-character-who-successfu/,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5517241379310345,0.4827586206896552,1.0,0.7439024390243902,0.5833333333333334,1.0,0.7333333333333333,0.6086956521739131,1.0,0.6929133858267718,0.5,1.0,0.696551724137931,0.6111111111111112,1.0,0.6956521739130435,0.6875
291::https://blog.reedsy.com/creative-writing-prompts/drama/write-a-story-that-keeps-a-key-detail-hidden-from-/,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.46774193548387094,0.39285714285714285,0.5294117647058824,0.5113636363636364,0.4230769230769231,0.8235294117647058,0.6460176991150443,0.44,0.8235294117647058,0.6870229007633588,0.6111111111111112,0.8235294117647058,0.6845637583892618,0.6111111111111112,0.8235294117647058,0.7710843373493975,0.6470588235294118
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-inspired-by-the-ultimate-cliched-twi/,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.49122807017543857,0.5,0.4827586206896552,0.5189873417721519,0.5909090909090909,0.4827586206896552,0.5353535353535354,0.6,0.6551724137931034,0.6050420168067226,0.6,0.6551724137931034,0.6231884057971014,0.631578947368421,0.9655172413793104,0.7354838709677419,0.7058823529411765
291::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-with-a-huge-surprise-either-in-the-m/,1.0,1.0,1.0,1.0,0.9090909090909091,0.76,1.0,0.8202247191011235,0.5652173913043478,1.0,0.7777777777777778,0.5789473684210527,1.0,0.7661290322580645,0.6875,1.0,0.7785714285714287,0.6875,1.0,0.7741935483870968,0.7333333333333333
294::https://blog.reedsy.com/creative-writing-prompts/dialogue/write-a-story-with-the-line-i-didn-t-mean-that-or-/,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6984126984126984,0.4666666666666667,0.9090909090909091,0.6483516483516484,0.5,0.9090909090909091,0.7699115044247787,0.6363636363636364,0.9090909090909091,0.7388059701492538,0.5714285714285714,1.0,0.8859060402684564,0.8,1.0,0.9447852760736196,0.8571428571428571
294::https://blog.reedsy.com/creative-writing-prompts/drama/center-your-story-around-someone-who-s-at-a-loss-f/,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4772727272727273,0.49382716049382713,0.5135135135135135,0.4772727272727273,0.5309734513274337,0.59375,1.0,0.7761194029850746,0.9047619047619048,1.0,0.7792207792207793,0.8,1.0,0.8735632183908045,0.8,1.0,0.8445595854922279,0.5789473684210527
294::https://blog.reedsy.com/creative-writing-prompts/short-story/create-a-title-with-reedsy-s-title-generator-then-/,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.8064516129032258,0.7321428571428571,0.64,0.8064516129032258,0.7763157894736843,0.8,0.8064516129032258,0.8191489361702128,0.8888888888888888,0.8064516129032258,0.8214285714285714,0.8333333333333334,0.8064516129032258,0.8046875000000001,0.6875,0.8064516129032258,0.8601398601398603,0.7333333333333333
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-the-form-of-a-letter-or-several-l/,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.5227272727272727,0.6111111111111112,0.46153846153846156,0.564516129032258,0.6111111111111112,0.6923076923076923,0.6794871794871795,0.6875,0.6923076923076923,0.6808510638297872,0.6875,0.6923076923076923,0.7272727272727274,0.6875,0.6923076923076923,0.7741935483870966,0.7857142857142857
294::https://blog.reedsy.com/creative-writing-prompts/short-story/write-a-story-in-which-the-first-and-last-sentence/,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7538461538461538,0.6333333333333333,1.0,0.8936170212765958,0.6551724137931034,1.0,0.8114754098360656,0.5357142857142857,1.0,0.7708333333333333,0.5454545454545454,1.0,0.7730061349693251,0.631578947368421,1.0,0.8563535911602209,0.6666666666666666
