k,obs_mean,rand_mean,p95_mean,models_above_p95
1,0.5175550475365411,0.5448781335535235,0.6140306483205196,0/6
2,0.5887114043084117,0.5967663180833619,0.6480933999587296,0/6
3,0.6426634921190582,0.6382584565472894,0.681493610748873,2/6
4,0.6808124042372405,0.6783773396137794,0.7165072176794518,0/6
5,0.7206569149426204,0.7164875578989566,0.7503637129228444,0/6
6,0.7568450643759466,0.75345809871477,0.7841247032073414,1/6
7,0.7888913730729019,0.7850298933008227,0.8132625160735308,1/6
