model,observed_mean,random_mean,p95,delta_to_p95,above_p95
anthropic-claude-3-haiku,0.21086131330323,0.3488187268059661,0.4264336749589094,-0.2155723616556794,False
deepseek-deepseek-v3.1-terminus,0.4234852826239278,0.34963273362982444,0.43003204964676767,-0.00654676702283985,False
google-gemini-3.1-pro-preview,0.4434488443841926,0.35043090582405845,0.4320131775039941,0.01143566688019848,True
openai-gpt-oss-120b,0.3474245540452186,0.3490459384029318,0.42614461470796805,-0.07872006066274945,False
qwen-qwen-2.5-7b-instruct,0.3242945514503244,0.3490505697476494,0.42783858371135114,-0.10354403226102676,False
x-ai-grok-4.3,0.30859221509260676,0.34820669622412403,0.42675075443075394,-0.11815853933814718,False
