model,observed_mean,random_mean,p95,delta_to_p95,above_p95
anthropic-claude-3-haiku,0.5653301099576337,0.6381005522462461,0.6805057700883234,-0.1151756601306897,False
deepseek-deepseek-v3.1-terminus,0.6900147342771328,0.638439184412995,0.6825334655716069,0.007481268705525901,True
google-gemini-3.1-pro-preview,0.6927822727850632,0.638960123351962,0.683154509051916,0.009627763733147221,True
openai-gpt-oss-120b,0.6480740615160194,0.6381733444624282,0.6801326256467071,-0.03205856413068764,False
qwen-qwen-2.5-7b-instruct,0.635849273785096,0.6381337037265797,0.6819619702258827,-0.04611269644078664,False
x-ai-grok-4.3,0.6239305003934039,0.637743831083526,0.6806733239088025,-0.05674282351539861,False
