k,obs_mean,rand_mean,p95_mean,models_above_p95
1,0.2336479327160398,0.28573172217358084,0.39758459326088097,0/6
2,0.29653376335388804,0.32164318043877166,0.4084540179887939,0/6
3,0.34301779348324996,0.34919759510575904,0.42820214249329075,1/6
4,0.36732627908749044,0.37704987479877955,0.45258333973078374,0/6
5,0.3926514696095204,0.40623894363632224,0.4820701450250282,0/6
6,0.44631975898945386,0.45526772314742864,0.5256275033049823,1/6
7,0.4659479791321226,0.48069042061084083,0.5585746034252445,1/6
