model,k,metric,observed_mean,random_mean,random_std,n_prompts,num_permutations,seed,p95,above_p95
anthropic-claude-3.7-sonnet,1,ratio_max,0.5617126275301615,0.5433697220440276,0.039599475346629914,20,2500,48,0.6145348169184583,False
anthropic-claude-3.7-sonnet,1,ratio_mean,0.5617126275301615,0.5433697220440276,0.039599475346629914,20,2500,48,0.6145348169184583,False
anthropic-claude-3.7-sonnet,1,ratio_min,0.5617126275301615,0.5433697220440276,0.039599475346629914,20,2500,48,0.6145348169184583,False
anthropic-claude-3.7-sonnet,2,ratio_max,0.632167569838552,0.6418297558644257,0.04106020425994814,20,2500,48,0.7126710663840264,False
anthropic-claude-3.7-sonnet,2,ratio_mean,0.5905096713980069,0.5961532680468854,0.029584880473912164,20,2500,48,0.6478483925289154,False
anthropic-claude-3.7-sonnet,2,ratio_min,0.5524408712584756,0.5522748323635456,0.025226580211242283,20,2500,48,0.595887816354604,False
anthropic-claude-3.7-sonnet,3,ratio_max,0.7195419929645738,0.706544638221896,0.040514354769293576,20,2500,48,0.7741319738880919,False
anthropic-claude-3.7-sonnet,3,ratio_mean,0.6360526767207523,0.6378816427282663,0.02508869694879832,20,2500,48,0.680322358522333,False
anthropic-claude-3.7-sonnet,3,ratio_min,0.5789322344601532,0.5692743903942683,0.017697879947415188,20,2500,48,0.6001261540974983,False
anthropic-claude-3.7-sonnet,4,ratio_max,0.7442831937927312,0.7544111640150535,0.03992411065714019,20,2500,48,0.8200268111922625,False
anthropic-claude-3.7-sonnet,4,ratio_mean,0.6689659313468079,0.6779072000583688,0.02249958111823955,20,2500,48,0.7155446171679817,False
anthropic-claude-3.7-sonnet,4,ratio_min,0.5951393257114422,0.6141420417614487,0.014483364837293188,20,2500,48,0.6399291496268421,False
anthropic-claude-3.7-sonnet,5,ratio_max,0.7947848472525177,0.7924746849265926,0.03856897921870206,20,2500,48,0.8565509186636581,False
anthropic-claude-3.7-sonnet,5,ratio_mean,0.7174007752799679,0.7160270576492876,0.020250360932233112,20,2500,48,0.7496369704620626,False
anthropic-claude-3.7-sonnet,5,ratio_min,0.6568650793650793,0.6621702759740259,0.011152934216866184,20,2500,48,0.6829568452380953,False
anthropic-claude-3.7-sonnet,6,ratio_max,0.8499602354066293,0.8239698699802211,0.03721314489797147,20,2500,48,0.8845434324912844,False
anthropic-claude-3.7-sonnet,6,ratio_mean,0.7569712912174108,0.7535057544489451,0.01847309771046244,20,2500,48,0.7843692902104462,False
anthropic-claude-3.7-sonnet,6,ratio_min,0.7027938837478312,0.7151908167534221,0.0092552974657773,20,2500,48,0.7317396355472016,False
anthropic-claude-3.7-sonnet,7,ratio_max,0.8761723566187506,0.8496936615320501,0.03555248017997885,20,2500,48,0.9075443695203216,False
anthropic-claude-3.7-sonnet,7,ratio_mean,0.7902076917198759,0.7853626340011026,0.016713718233864576,20,2500,48,0.8124353481498556,False
anthropic-claude-3.7-sonnet,7,ratio_min,0.7425921468452429,0.7489237539380125,0.007721059466460558,20,2500,48,0.7624695686472971,False
deepseek-deepseek-v3.1-terminus,1,ratio_max,0.5125893971364509,0.5462365861219277,0.04143021082778717,20,2500,49,0.6176715670664124,False
deepseek-deepseek-v3.1-terminus,1,ratio_mean,0.5125893971364509,0.5462365861219277,0.04143021082778717,20,2500,49,0.6176715670664124,False
deepseek-deepseek-v3.1-terminus,1,ratio_min,0.5125893971364509,0.5462365861219277,0.04143021082778717,20,2500,49,0.6176715670664124,False
deepseek-deepseek-v3.1-terminus,2,ratio_max,0.6598703989509073,0.642648224765638,0.041805715887419465,20,2500,49,0.7138342711375697,False
deepseek-deepseek-v3.1-terminus,2,ratio_mean,0.5936383377982433,0.5970281330304791,0.030315729729875535,20,2500,49,0.6477225137333912,False
deepseek-deepseek-v3.1-terminus,2,ratio_min,0.5221744943605197,0.5532057003529283,0.02535018443998495,20,2500,49,0.5970169341476963,False
deepseek-deepseek-v3.1-terminus,3,ratio_max,0.7184419243702587,0.7078850203460684,0.04161356007172473,20,2500,49,0.7760227232072221,False
deepseek-deepseek-v3.1-terminus,3,ratio_mean,0.6306422680396971,0.6388865246565291,0.025652900262159026,20,2500,49,0.6828597407708499,False
deepseek-deepseek-v3.1-terminus,3,ratio_min,0.5514190416764295,0.569328753936396,0.017616052454706838,20,2500,49,0.5995849350893008,False
deepseek-deepseek-v3.1-terminus,4,ratio_max,0.7924352082987878,0.7557000426060316,0.040839272512042855,20,2500,49,0.8234810826394455,False
deepseek-deepseek-v3.1-terminus,4,ratio_mean,0.6865636746381444,0.6787491526307953,0.022864564094721138,20,2500,49,0.7179088231683257,False
deepseek-deepseek-v3.1-terminus,4,ratio_min,0.5839958522482758,0.6141505629192384,0.014480549575591728,20,2500,49,0.639796612960993,False
deepseek-deepseek-v3.1-terminus,5,ratio_max,0.8639536317793549,0.7931867123037806,0.039996400863076174,20,2500,49,0.8594426638195344,True
deepseek-deepseek-v3.1-terminus,5,ratio_mean,0.7323997798563674,0.7163589909069644,0.02084914632176149,20,2500,49,0.7526338831425766,False
deepseek-deepseek-v3.1-terminus,5,ratio_min,0.6453490259740259,0.66217859992785,0.011362910940088159,20,2500,49,0.682750992063492,False
deepseek-deepseek-v3.1-terminus,6,ratio_max,0.9039536317793552,0.8236921819351548,0.03902590891423745,20,2500,49,0.889095931369427,True
deepseek-deepseek-v3.1-terminus,6,ratio_mean,0.7783153028075016,0.7531588102572825,0.019189839150129312,20,2500,49,0.7851539321752675,False
deepseek-deepseek-v3.1-terminus,6,ratio_min,0.7051623048004627,0.7152227444894288,0.009320254022557456,20,2500,49,0.7324373674571043,False
deepseek-deepseek-v3.1-terminus,7,ratio_max,0.9245705148962383,0.8500770912329361,0.03748683195788795,20,2500,49,0.911275057847969,True
deepseek-deepseek-v3.1-terminus,7,ratio_mean,0.809373561768914,0.7850748073606792,0.01753253544155788,20,2500,49,0.8143250059200512,False
deepseek-deepseek-v3.1-terminus,7,ratio_min,0.7453249899824977,0.748876929975769,0.007599166885206885,20,2500,49,0.763015536815266,False
x-ai-grok-4.1-fast,1,ratio_max,0.6133251286153144,0.5424553489839189,0.03962123582913894,20,2500,50,0.6095589908353365,True
x-ai-grok-4.1-fast,1,ratio_mean,0.6133251286153144,0.5424553489839189,0.03962123582913894,20,2500,50,0.6095589908353365,True
x-ai-grok-4.1-fast,1,ratio_min,0.6133251286153144,0.5424553489839189,0.03962123582913894,20,2500,50,0.6095589908353365,True
x-ai-grok-4.1-fast,2,ratio_max,0.682798598088526,0.6412270255575663,0.04250225396395378,20,2500,50,0.7130304993639132,False
x-ai-grok-4.1-fast,2,ratio_mean,0.62801035080558,0.5953936306772706,0.03031129787244925,20,2500,50,0.648363464663684,False
x-ai-grok-4.1-fast,2,ratio_min,0.5746970780264791,0.5513710936173934,0.024753504193335475,20,2500,50,0.5947818078916988,False
x-ai-grok-4.1-fast,3,ratio_max,0.7882544288524183,0.7061016808830455,0.04194607153078522,20,2500,50,0.776144911435856,True
x-ai-grok-4.1-fast,3,ratio_mean,0.6779934352277379,0.6372539580671218,0.02575987973393393,20,2500,50,0.6810019008593717,False
x-ai-grok-4.1-fast,3,ratio_min,0.5849320356646956,0.5687272205977081,0.01746631245702673,20,2500,50,0.5997157010656058,False
x-ai-grok-4.1-fast,4,ratio_max,0.81334096143617,0.7535907655584017,0.04047180664929518,20,2500,50,0.8208601530513973,False
x-ai-grok-4.1-fast,4,ratio_mean,0.7131071049585046,0.6771331648896605,0.022352493290517535,20,2500,50,0.7134960725051926,False
x-ai-grok-4.1-fast,4,ratio_min,0.6248918934051864,0.6133642538502916,0.014219320111598727,20,2500,50,0.6389973497543927,False
x-ai-grok-4.1-fast,5,ratio_max,0.8479886666721104,0.7914014180010022,0.03910768223549387,20,2500,50,0.8569381971043346,False
x-ai-grok-4.1-fast,5,ratio_mean,0.7464258375965879,0.7152111356301044,0.019992401356495278,20,2500,50,0.7486171366402309,False
x-ai-grok-4.1-fast,5,ratio_min,0.6635615079365078,0.6619448383838384,0.010954601947656632,20,2500,50,0.6815016233766233,False
x-ai-grok-4.1-fast,6,ratio_max,0.8554886666721104,0.823269266910151,0.03746337124818416,20,2500,50,0.8846972031920041,False
