prompt_id,story_url,likes,comments
6,https://blog.reedsy.com/short-story/ko31zj/,19,16
6,https://blog.reedsy.com/short-story/1jocox/,18,13
6,https://blog.reedsy.com/short-story/rfobg7/,18,6
6,https://blog.reedsy.com/short-story/crc4vt/,18,16
6,https://blog.reedsy.com/short-story/92slht/,16,4
6,https://blog.reedsy.com/short-story/17e3pz/,16,10
6,https://blog.reedsy.com/short-story/xpj445/,15,5
6,https://blog.reedsy.com/short-story/btnf8a/,15,2
6,https://blog.reedsy.com/short-story/tnt90t/,15,12
6,https://blog.reedsy.com/short-story/v7zv7v/,15,6
6,https://blog.reedsy.com/short-story/yy9rfd/,14,10
6,https://blog.reedsy.com/short-story/pi7znn/,14,8
6,https://blog.reedsy.com/short-story/vna9dq/,12,3
6,https://blog.reedsy.com/short-story/ll448w/,12,11
6,https://blog.reedsy.com/short-story/upsjvv/,11,4
6,https://blog.reedsy.com/short-story/mwf80o/,11,11
6,https://blog.reedsy.com/short-story/urjc4f/,11,2
6,https://blog.reedsy.com/short-story/ebfny5/,11,3
6,https://blog.reedsy.com/short-story/5xnaki/,11,0
7,https://blog.reedsy.com/short-story/ke5to4/,47,59
7,https://blog.reedsy.com/short-story/p5rz09/,31,15
7,https://blog.reedsy.com/short-story/rww7ih/,25,22
7,https://blog.reedsy.com/short-story/k9juor/,20,2
7,https://blog.reedsy.com/short-story/yh62hy/,18,17
7,https://blog.reedsy.com/short-story/e48ees/,18,4
7,https://blog.reedsy.com/short-story/3ag7kp/,16,6
7,https://blog.reedsy.com/short-story/hdur4j/,15,15
7,https://blog.reedsy.com/short-story/oahrg9/,11,7
7,https://blog.reedsy.com/short-story/hz2aux/,11,3
8,https://blog.reedsy.com/short-story/w419tc/,43,37
8,https://blog.reedsy.com/short-story/xsz8sr/,26,25
8,https://blog.reedsy.com/short-story/t30jl7/,18,6
8,https://blog.reedsy.com/short-story/7bkh23/,18,10
8,https://blog.reedsy.com/short-story/eu4v2q/,16,21
8,https://blog.reedsy.com/short-story/mu1u5y/,16,8
8,https://blog.reedsy.com/short-story/asd55k/,16,11
8,https://blog.reedsy.com/short-story/z57tb5/,14,3
8,https://blog.reedsy.com/short-story/vqkusz/,13,9
8,https://blog.reedsy.com/short-story/qovuqp/,12,3
8,https://blog.reedsy.com/short-story/kjrxur/,12,2
8,https://blog.reedsy.com/short-story/n9bawa/,12,1
8,https://blog.reedsy.com/short-story/bn94jg/,11,4
8,https://blog.reedsy.com/short-story/9jqptg/,11,6
9,https://blog.reedsy.com/short-story/f71z1r/,54,35
9,https://blog.reedsy.com/short-story/z0nkew/,44,45
9,https://blog.reedsy.com/short-story/0k4e0i/,37,37
9,https://blog.reedsy.com/short-story/jojtjt/,32,37
9,https://blog.reedsy.com/short-story/hw93v9/,21,19
9,https://blog.reedsy.com/short-story/s4g6xh/,20,20
9,https://blog.reedsy.com/short-story/r4ckf8/,20,15
9,https://blog.reedsy.com/short-story/2ilh7p/,19,11
9,https://blog.reedsy.com/short-story/8g7cr4/,19,14
9,https://blog.reedsy.com/short-story/kzh4lk/,16,4
9,https://blog.reedsy.com/short-story/hk6jiz/,16,2
9,https://blog.reedsy.com/short-story/04w919/,14,8
9,https://blog.reedsy.com/short-story/yx6qnj/,13,6
9,https://blog.reedsy.com/short-story/2kapeu/,12,7
9,https://blog.reedsy.com/short-story/tgkp57/,11,14
9,https://blog.reedsy.com/short-story/s4d43o/,11,5
10,https://blog.reedsy.com/short-story/28r778/,39,144
10,https://blog.reedsy.com/short-story/hf81ik/,33,34
10,https://blog.reedsy.com/short-story/e7g6ai/,30,23
10,https://blog.reedsy.com/short-story/pooswu/,28,6
10,https://blog.reedsy.com/short-story/jbik8j/,22,13
10,https://blog.reedsy.com/short-story/yntu6y/,21,4
10,https://blog.reedsy.com/short-story/6m0sfg/,15,4
10,https://blog.reedsy.com/short-story/3sf09w/,14,7
10,https://blog.reedsy.com/short-story/7ta614/,12,12
11,https://blog.reedsy.com/short-story/giqjnn/,33,16
11,https://blog.reedsy.com/short-story/rseuek/,30,26
11,https://blog.reedsy.com/short-story/e6po7n/,26,6
11,https://blog.reedsy.com/short-story/mc2gou/,22,10
11,https://blog.reedsy.com/short-story/ztpf1o/,21,8
11,https://blog.reedsy.com/short-story/d9x9s5/,21,16
11,https://blog.reedsy.com/short-story/mp7ypd/,20,11
11,https://blog.reedsy.com/short-story/nhwye9/,18,11
11,https://blog.reedsy.com/short-story/2ckki2/,17,1
11,https://blog.reedsy.com/short-story/xdnvdl/,17,9
11,https://blog.reedsy.com/short-story/sbxug2/,16,4
11,https://blog.reedsy.com/short-story/jeug1s/,16,8
11,https://blog.reedsy.com/short-story/do0ddf/,15,5
11,https://blog.reedsy.com/short-story/rmdknh/,14,6
11,https://blog.reedsy.com/short-story/yrovjf/,14,2
11,https://blog.reedsy.com/short-story/y0h3ni/,14,8
11,https://blog.reedsy.com/short-story/vfjvnx/,14,3
11,https://blog.reedsy.com/short-story/wqk8ep/,13,7
11,https://blog.reedsy.com/short-story/l59tlp/,13,3
11,https://blog.reedsy.com/short-story/926ouw/,13,19
11,https://blog.reedsy.com/short-story/lw0uf2/,12,1
11,https://blog.reedsy.com/short-story/0dy9as/,12,2
11,https://blog.reedsy.com/short-story/knu36w/,12,2
11,https://blog.reedsy.com/short-story/e3klc4/,12,3
11,https://blog.reedsy.com/short-story/0j59ok/,11,7
11,https://blog.reedsy.com/short-story/y4qc71/,11,2
11,https://blog.reedsy.com/short-story/4ms9cj/,11,4
11,https://blog.reedsy.com/short-story/hmn2nt/,11,1
11,https://blog.reedsy.com/short-story/z0rg92/,11,0
12,https://blog.reedsy.com/short-story/kogb0v/,45,22
12,https://blog.reedsy.com/short-story/k392jo/,21,11
12,https://blog.reedsy.com/short-story/rfo9hg/,19,4
12,https://blog.reedsy.com/short-story/h8mxab/,18,4
12,https://blog.reedsy.com/short-story/3yzxfd/,17,2
12,https://blog.reedsy.com/short-story/sn102f/,15,8
12,https://blog.reedsy.com/short-story/1jfvx7/,14,4
12,https://blog.reedsy.com/short-story/5j6alp/,14,6
12,https://blog.reedsy.com/short-story/p372kc/,14,6
12,https://blog.reedsy.com/short-story/svl69s/,13,2
12,https://blog.reedsy.com/short-story/nka8c2/,13,1
12,https://blog.reedsy.com/short-story/o40hez/,12,2
12,https://blog.reedsy.com/short-story/ti0ycw/,12,1
12,https://blog.reedsy.com/short-story/wglfsn/,12,5
12,https://blog.reedsy.com/short-story/it9r5b/,12,0
12,https://blog.reedsy.com/short-story/y0dsro/,12,2
12,https://blog.reedsy.com/short-story/f8nwu0/,11,4
12,https://blog.reedsy.com/short-story/26x2w2/,11,4
