prompt_id,story_url,rank_in_prompt,likes,comments
5,https://blog.reedsy.com/short-story/85sv7t/,18,11,1
6,https://blog.reedsy.com/short-story/mf8n1g/,1,60,40
6,https://blog.reedsy.com/short-story/o27c9r/,2,35,18
6,https://blog.reedsy.com/short-story/db4nwr/,3,30,26
6,https://blog.reedsy.com/short-story/yw8r8v/,4,29,25
6,https://blog.reedsy.com/short-story/dnqgpj/,5,28,12
6,https://blog.reedsy.com/short-story/s6jhin/,6,22,7
6,https://blog.reedsy.com/short-story/ko31zj/,7,19,16
6,https://blog.reedsy.com/short-story/crc4vt/,8,18,16
6,https://blog.reedsy.com/short-story/1jocox/,9,18,13
6,https://blog.reedsy.com/short-story/rfobg7/,10,18,6
6,https://blog.reedsy.com/short-story/17e3pz/,11,16,10
6,https://blog.reedsy.com/short-story/92slht/,12,16,4
6,https://blog.reedsy.com/short-story/tnt90t/,13,15,12
6,https://blog.reedsy.com/short-story/v7zv7v/,14,15,6
6,https://blog.reedsy.com/short-story/xpj445/,15,15,5
6,https://blog.reedsy.com/short-story/btnf8a/,16,15,2
6,https://blog.reedsy.com/short-story/yy9rfd/,17,14,10
6,https://blog.reedsy.com/short-story/pi7znn/,18,14,8
6,https://blog.reedsy.com/short-story/ll448w/,19,12,11
6,https://blog.reedsy.com/short-story/vna9dq/,20,12,3
6,https://blog.reedsy.com/short-story/mwf80o/,21,11,11
6,https://blog.reedsy.com/short-story/upsjvv/,22,11,4
6,https://blog.reedsy.com/short-story/ebfny5/,23,11,3
6,https://blog.reedsy.com/short-story/urjc4f/,24,11,2
6,https://blog.reedsy.com/short-story/5xnaki/,25,11,0
7,https://blog.reedsy.com/short-story/ke5to4/,1,47,59
7,https://blog.reedsy.com/short-story/p5rz09/,2,31,15
7,https://blog.reedsy.com/short-story/rww7ih/,3,25,22
7,https://blog.reedsy.com/short-story/k9juor/,4,20,2
7,https://blog.reedsy.com/short-story/yh62hy/,5,18,17
7,https://blog.reedsy.com/short-story/e48ees/,6,18,4
7,https://blog.reedsy.com/short-story/3ag7kp/,7,16,6
7,https://blog.reedsy.com/short-story/hdur4j/,8,15,15
7,https://blog.reedsy.com/short-story/oahrg9/,9,11,7
7,https://blog.reedsy.com/short-story/hz2aux/,10,11,3
8,https://blog.reedsy.com/short-story/w419tc/,1,43,37
8,https://blog.reedsy.com/short-story/xsz8sr/,2,26,25
8,https://blog.reedsy.com/short-story/7bkh23/,3,18,10
8,https://blog.reedsy.com/short-story/t30jl7/,4,18,6
8,https://blog.reedsy.com/short-story/eu4v2q/,5,16,21
8,https://blog.reedsy.com/short-story/asd55k/,6,16,11
8,https://blog.reedsy.com/short-story/mu1u5y/,7,16,8
8,https://blog.reedsy.com/short-story/z57tb5/,8,14,3
8,https://blog.reedsy.com/short-story/vqkusz/,9,13,9
8,https://blog.reedsy.com/short-story/qovuqp/,10,12,3
8,https://blog.reedsy.com/short-story/kjrxur/,11,12,2
8,https://blog.reedsy.com/short-story/n9bawa/,12,12,1
8,https://blog.reedsy.com/short-story/9jqptg/,13,11,6
8,https://blog.reedsy.com/short-story/bn94jg/,14,11,4
9,https://blog.reedsy.com/short-story/f71z1r/,1,54,35
9,https://blog.reedsy.com/short-story/z0nkew/,2,44,45
9,https://blog.reedsy.com/short-story/0k4e0i/,3,37,37
9,https://blog.reedsy.com/short-story/jojtjt/,4,32,37
9,https://blog.reedsy.com/short-story/hw93v9/,5,21,19
9,https://blog.reedsy.com/short-story/s4g6xh/,6,20,20
9,https://blog.reedsy.com/short-story/r4ckf8/,7,20,15
9,https://blog.reedsy.com/short-story/8g7cr4/,8,19,14
9,https://blog.reedsy.com/short-story/2ilh7p/,9,19,11
9,https://blog.reedsy.com/short-story/kzh4lk/,10,16,4
9,https://blog.reedsy.com/short-story/hk6jiz/,11,16,2
9,https://blog.reedsy.com/short-story/04w919/,12,14,8
9,https://blog.reedsy.com/short-story/yx6qnj/,13,13,6
9,https://blog.reedsy.com/short-story/2kapeu/,14,12,7
9,https://blog.reedsy.com/short-story/tgkp57/,15,11,14
9,https://blog.reedsy.com/short-story/s4d43o/,16,11,5
10,https://blog.reedsy.com/short-story/28r778/,1,39,144
10,https://blog.reedsy.com/short-story/hf81ik/,2,33,34
10,https://blog.reedsy.com/short-story/e7g6ai/,3,30,23
10,https://blog.reedsy.com/short-story/pooswu/,4,28,6
10,https://blog.reedsy.com/short-story/jbik8j/,5,22,13
10,https://blog.reedsy.com/short-story/yntu6y/,6,21,4
10,https://blog.reedsy.com/short-story/6m0sfg/,7,15,4
10,https://blog.reedsy.com/short-story/3sf09w/,8,14,7
10,https://blog.reedsy.com/short-story/7ta614/,9,12,12
11,https://blog.reedsy.com/short-story/giqjnn/,1,33,16
11,https://blog.reedsy.com/short-story/rseuek/,2,30,26
11,https://blog.reedsy.com/short-story/e6po7n/,3,26,6
11,https://blog.reedsy.com/short-story/mc2gou/,4,22,10
11,https://blog.reedsy.com/short-story/d9x9s5/,5,21,16
11,https://blog.reedsy.com/short-story/ztpf1o/,6,21,8
11,https://blog.reedsy.com/short-story/mp7ypd/,7,20,11
11,https://blog.reedsy.com/short-story/nhwye9/,8,18,11
11,https://blog.reedsy.com/short-story/xdnvdl/,9,17,9
11,https://blog.reedsy.com/short-story/2ckki2/,10,17,1
11,https://blog.reedsy.com/short-story/jeug1s/,11,16,8
11,https://blog.reedsy.com/short-story/sbxug2/,12,16,4
11,https://blog.reedsy.com/short-story/do0ddf/,13,15,5
11,https://blog.reedsy.com/short-story/y0h3ni/,14,14,8
11,https://blog.reedsy.com/short-story/rmdknh/,15,14,6
11,https://blog.reedsy.com/short-story/vfjvnx/,16,14,3
11,https://blog.reedsy.com/short-story/yrovjf/,17,14,2
11,https://blog.reedsy.com/short-story/926ouw/,18,13,19
11,https://blog.reedsy.com/short-story/wqk8ep/,19,13,7
11,https://blog.reedsy.com/short-story/l59tlp/,20,13,3
11,https://blog.reedsy.com/short-story/e3klc4/,21,12,3
11,https://blog.reedsy.com/short-story/0dy9as/,22,12,2
11,https://blog.reedsy.com/short-story/knu36w/,23,12,2
11,https://blog.reedsy.com/short-story/lw0uf2/,24,12,1
11,https://blog.reedsy.com/short-story/0j59ok/,25,11,7
11,https://blog.reedsy.com/short-story/4ms9cj/,26,11,4
11,https://blog.reedsy.com/short-story/y4qc71/,27,11,2
11,https://blog.reedsy.com/short-story/hmn2nt/,28,11,1
11,https://blog.reedsy.com/short-story/z0rg92/,29,11,0
12,https://blog.reedsy.com/short-story/kogb0v/,1,45,22
12,https://blog.reedsy.com/short-story/k392jo/,2,21,11
12,https://blog.reedsy.com/short-story/rfo9hg/,3,19,4
12,https://blog.reedsy.com/short-story/h8mxab/,4,18,4
12,https://blog.reedsy.com/short-story/3yzxfd/,5,17,2
12,https://blog.reedsy.com/short-story/sn102f/,6,15,8
12,https://blog.reedsy.com/short-story/5j6alp/,7,14,6
12,https://blog.reedsy.com/short-story/p372kc/,8,14,6
12,https://blog.reedsy.com/short-story/1jfvx7/,9,14,4
12,https://blog.reedsy.com/short-story/svl69s/,10,13,2
12,https://blog.reedsy.com/short-story/nka8c2/,11,13,1
12,https://blog.reedsy.com/short-story/wglfsn/,12,12,5
12,https://blog.reedsy.com/short-story/o40hez/,13,12,2
12,https://blog.reedsy.com/short-story/y0dsro/,14,12,2
12,https://blog.reedsy.com/short-story/ti0ycw/,15,12,1
12,https://blog.reedsy.com/short-story/it9r5b/,16,12,0
12,https://blog.reedsy.com/short-story/f8nwu0/,17,11,4
12,https://blog.reedsy.com/short-story/26x2w2/,18,11,4
12,https://blog.reedsy.com/short-story/eti0kz/,19,11,4
12,https://blog.reedsy.com/short-story/qhblk9/,20,11,3
12,https://blog.reedsy.com/short-story/jgfcbq/,21,11,3
13,https://blog.reedsy.com/short-story/lpj1g7/,1,60,56
13,https://blog.reedsy.com/short-story/f7xpxi/,2,59,30
13,https://blog.reedsy.com/short-story/khv5k3/,3,35,43
13,https://blog.reedsy.com/short-story/dx109p/,4,29,34
13,https://blog.reedsy.com/short-story/4iqnou/,5,29,27
13,https://blog.reedsy.com/short-story/ezxvev/,6,28,22
13,https://blog.reedsy.com/short-story/fpaqqx/,7,26,42
13,https://blog.reedsy.com/short-story/cywuq8/,8,26,26
13,https://blog.reedsy.com/short-story/tg0bjx/,9,22,12
13,https://blog.reedsy.com/short-story/kx2sd1/,10,18,9
13,https://blog.reedsy.com/short-story/qgr0ey/,11,17,4
13,https://blog.reedsy.com/short-story/gwkcsi/,12,17,3
13,https://blog.reedsy.com/short-story/go12xp/,13,16,4
13,https://blog.reedsy.com/short-story/lcws4l/,14,15,2
13,https://blog.reedsy.com/short-story/jkd5vx/,15,15,2
13,https://blog.reedsy.com/short-story/0mld83/,16,13,15
13,https://blog.reedsy.com/short-story/thx20j/,17,13,6
13,https://blog.reedsy.com/short-story/71vz1z/,18,13,4
13,https://blog.reedsy.com/short-story/ii2sjz/,19,12,6
13,https://blog.reedsy.com/short-story/rv5128/,20,12,4
13,https://blog.reedsy.com/short-story/sbkxje/,21,12,4
13,https://blog.reedsy.com/short-story/vv64qs/,22,12,3
13,https://blog.reedsy.com/short-story/ttxxex/,23,12,3
13,https://blog.reedsy.com/short-story/wbjoca/,24,12,1
13,https://blog.reedsy.com/short-story/wtr3ae/,25,12,1
13,https://blog.reedsy.com/short-story/qly67t/,26,11,8
13,https://blog.reedsy.com/short-story/18doip/,27,11,7
13,https://blog.reedsy.com/short-story/xd8u8h/,28,11,3
